POLL	GO:0006260;GO:0000724;GO:0006289;GO:0006287;GO:0006303;GO:0005654;GO:0003677;GO:0005634;GO:0003887;GO:0051575;GO:0046872;GO:0071897;GO:0016446
AKAP5	GO:0007193;GO:0035254;GO:0007165;GO:1903078;GO:0007268;GO:0008179;GO:0005886;GO:0009898;GO:0006605;GO:0097110;GO:0005516;GO:0005515;GO:0010738;GO:0034237;GO:0005829;GO:0017124;GO:0030346;GO:0051018
PPIA	GO:0045069;GO:0000413;GO:0005576;GO:1904813;GO:0019061;GO:0003723;GO:0070062;GO:0005925;GO:0019064;GO:0005829;GO:0019068;GO:0034389;GO:0050714;GO:0045070;GO:0075713;GO:0016018;GO:0030260;GO:0006278;GO:0043312;GO:0051082;GO:0006457;GO:0046790;GO:0005634;GO:0003755;GO:0005615;GO:0005515;GO:0019076;GO:0016020;GO:0019058;GO:0031982;GO:0032991;GO:0034774;GO:0050900;GO:0035722
FHOD1	GO:0019904;GO:0042802;GO:0007097;GO:0051492;GO:0045944;GO:0043621;GO:0005634;GO:0005515;GO:0003779;GO:0051660;GO:0005737;GO:0051496;GO:0016020;GO:0001725;GO:0005829;GO:0014704;GO:0032059
SSBP1	GO:0006260;GO:0051096;GO:0003682;GO:0007005;GO:0003697;GO:0042645;GO:0005634;GO:0003723;GO:0005515;GO:0070062;GO:0070584;GO:0005759;GO:0005739
UAP1	GO:0042802;GO:0003977;GO:0005829;GO:0030246;GO:0005886;GO:0006048;GO:0005654;GO:0070569
HTR3D	GO:0007165;GO:0034220;GO:0007268;GO:0005230;GO:0045202;GO:0022850;GO:0043005;GO:0005886;GO:0005887;GO:0004888;GO:0005515;GO:0042391;GO:0098655;GO:0016021;GO:0050877
CALU	GO:0008150;GO:0044267;GO:0005783;GO:0005794;GO:0005576;GO:0043687;GO:0005789;GO:0005788;GO:0005515;GO:0042470;GO:0005509;GO:0016020;GO:0033018
GMPPB	GO:0005525;GO:0005515;GO:0005737;GO:0009298;GO:0004475
CD247	GO:0042802;GO:0042803;GO:0031295;GO:2000010;GO:0002250;GO:0042101;GO:0038096;GO:0005886;GO:0042105;GO:1990782;GO:0004888;GO:0005515;GO:0051289;GO:0005737;GO:0050690;GO:0016021;GO:0032623;GO:0070207;GO:0050852;GO:0050776
ELP4	GO:0043967;GO:0043966;GO:0045859;GO:0008023;GO:0002098;GO:0000993;GO:0000123;GO:0005654;GO:0006357;GO:0006368;GO:0008607;GO:0004402;GO:0005515;GO:0005737;GO:0033588
PSAT1	GO:0008615;GO:0070062;GO:0004648;GO:0005737;GO:0005829;GO:0006564
WDR78	GO:0005858;GO:0030286;GO:0003341;GO:0008574;GO:0045504;GO:0007018;GO:0002244;GO:0045503
ZFP37	GO:0003677;GO:0005634;GO:0003700;GO:0008270;GO:0006351;GO:0006355;GO:0043565;GO:0000981;GO:0006357
PPP2R3B	GO:0004722;GO:0007050;GO:0004721;GO:0005634;GO:0005515;GO:0005509;GO:0006470;GO:0000159;GO:0043666;GO:0005654;GO:0019888
NBEA	GO:0019901;GO:0005802;GO:0008104;GO:0005829;GO:0012505;GO:0005886
CFAP126	GO:0005737;GO:0036064;GO:0044782;GO:0005929;GO:0016324
HAUS1	GO:0007098;GO:0000922;GO:0003674;GO:0005874;GO:0051301;GO:0051225;GO:0005813;GO:0000086;GO:0005515;GO:0097711;GO:0005829;GO:0070652;GO:0010389
FAF2	GO:0035473;GO:0034098;GO:0005783;GO:0043312;GO:0005576;GO:0006986;GO:0005811;GO:0005515;GO:0031625;GO:0043086;GO:0043130;GO:0055102;GO:0030970;GO:0034389;GO:0030433;GO:0035578
ZNF689	GO:0003677;GO:0005634;GO:0003700;GO:0035914;GO:0006351;GO:0046872;GO:0006355;GO:0000981;GO:0006357
PTH2R	GO:0005887;GO:0005515;GO:0007186;GO:0004991;GO:0007166;GO:0005886
AKR1C1	GO:0016229;GO:0032052;GO:0044597;GO:0008202;GO:0042574;GO:0047006;GO:0044598;GO:0005496;GO:0008207;GO:0008206;GO:0042632;GO:0008106;GO:0071395;GO:0001523;GO:0070062;GO:0016491;GO:0046683;GO:0005829;GO:0015721;GO:0016655;GO:0042448;GO:0018636;GO:0047718;GO:0004032;GO:0007586;GO:0051260;GO:0006693;GO:0004033;GO:0047115;GO:0030855;GO:0031406;GO:0047042;GO:0047086;GO:0005515;GO:0006805;GO:0047023;GO:0030299;GO:0055114
PREX2	GO:0035023;GO:0007186;GO:0014065;GO:0005096;GO:0008344;GO:0006469;GO:0005886;GO:0043547;GO:0048813;GO:0005737;GO:0005829;GO:0032007;GO:0030676
PMF1-BGLAP	GO:0043231;GO:0005794;GO:0005654
ATP9B	GO:0000287;GO:0005524;GO:0005802;GO:0005768;GO:0048471;GO:0006890;GO:0045332;GO:0016021;GO:0004012;GO:0006897;GO:0005886
SPDL1	GO:0007062;GO:0043515;GO:0000922;GO:0000940;GO:0051301;GO:0000132;GO:0005634;GO:0005515;GO:0005815;GO:0034501;GO:0005829;GO:0007080;GO:0019899;GO:0031577
ZSCAN21	GO:0005634;GO:0001077;GO:0005515;GO:0046872;GO:0000978;GO:0006355;GO:0006366;GO:0045944;GO:0000981
SESN1	GO:0070728;GO:0016239;GO:1901031;GO:1904262;GO:0034198;GO:0001650;GO:0042149;GO:0061700;GO:1990253;GO:0005634;GO:0072593;GO:0071230;GO:0031932;GO:0005515;GO:0071233;GO:0005737;GO:0098869;GO:0005829;GO:0055114;GO:0016684;GO:0051920
BPIFC	GO:0005615;GO:0005543;GO:0001530
ALDH9A1	GO:0006081;GO:0047105;GO:0042136;GO:0042445;GO:0045329;GO:0004029;GO:0004028;GO:0033737;GO:0070062;GO:0005737;GO:0005829;GO:0019145;GO:0055114
OLFM2	GO:0032281;GO:0097060;GO:0005576;GO:0007601;GO:0009306;GO:0005654;GO:0005634;GO:0005515;GO:0007626;GO:0005737;GO:0051152;GO:0030054;GO:1905174
KLHL29	GO:0004842;GO:0031463;GO:0016567
DNASE1L1	GO:0090305;GO:0035580;GO:0000737;GO:0005783;GO:0043312;GO:0005576;GO:0006259;GO:0004520;GO:0003677;GO:0005634;GO:0006308;GO:0004536;GO:0004519
PARP2	GO:0006281;GO:0006273;GO:0006284;GO:0006471;GO:0097191;GO:0005730;GO:0003950;GO:0005654;GO:0051103;GO:0003677;GO:0005634;GO:0003910;GO:0005515;GO:0005737;GO:1990404;GO:0018312
