# Columns:
#
# unip_acc: Uniprot accession number
# unip_id: Uniprot identifier  
# source: Source of the transcriptions factor classification
#
#unip_acc	unip_id	source
Q96N77	ZN641_HUMAN	Vaquerizas et al.
Q96N38	ZN714_HUMAN	Vaquerizas et al.
Q96N22	ZN681_HUMAN	Vaquerizas et al.
Q96N20	ZN75A_HUMAN	Vaquerizas et al.
Q96MX3	ZNF48_HUMAN	Vaquerizas et al.
Q96MR9	ZN560_HUMAN	Vaquerizas et al.
Q96MN9	ZN488_HUMAN	Vaquerizas et al.
Q96MM3	ZFP42_HUMAN	Vaquerizas et al.
Q96MA1	DMRTB_HUMAN	Vaquerizas et al.
Q96LX8	ZN597_HUMAN	Vaquerizas et al.
Q96LW1	Z354B_HUMAN	Vaquerizas et al.
Q96LI6	HSFY1_HUMAN	Vaquerizas et al.
Q96KN3	PKNX2_HUMAN	Vaquerizas et al.
Q96K83	ZN521_HUMAN	Vaquerizas et al.
Q96K75	ZN514_HUMAN	Vaquerizas et al.
Q96K62	ZBT45_HUMAN	Vaquerizas et al.
Q96K58	ZN668_HUMAN	Vaquerizas et al.
Q96JY0	MAEL_HUMAN	Vaquerizas et al.
Q96JP5	ZFP91_HUMAN	Vaquerizas et al.
Q96JN0	LCOR_HUMAN	Vaquerizas et al.
Q96JM2	ZN462_HUMAN	Vaquerizas et al.
Q96JL9	ZN333_HUMAN	Vaquerizas et al.
Q96JC4	ZN479_HUMAN	Vaquerizas et al.
Q96JB3	HIC2_HUMAN	Vaquerizas et al.
Q96IZ0	PAWR_HUMAN	Vaquerizas et al.
Q96IT1	ZN496_HUMAN	Vaquerizas et al.
Q96IS3	RAX2_HUMAN	Vaquerizas et al.
Q96IQ9	ZN414_HUMAN	Vaquerizas et al.
Q96I27	ZN625_HUMAN	Vaquerizas et al.
Q96HQ0	ZN419_HUMAN	Vaquerizas et al.
Q96H40	ZN486_HUMAN	Vaquerizas et al.
Q96GM8	TOE1_HUMAN	Vaquerizas et al.
Q96GC6	ZN274_HUMAN	Vaquerizas et al.
Q96FH0	U402_HUMAN	Vaquerizas et al.
Q96F45	ZN503_HUMAN	Vaquerizas et al.
Q96DT7	ZBT10_HUMAN	Vaquerizas et al.
Q96CX3	ZN501_HUMAN	Vaquerizas et al.
Q96CS4	ZN689_HUMAN	Vaquerizas et al.
Q96CK0	ZN653_HUMAN	Vaquerizas et al.
Q96C55	ZN524_HUMAN	Vaquerizas et al.
Q96C28	ZN707_HUMAN	Vaquerizas et al.
Q96C00	ZBTB9_HUMAN	Vaquerizas et al.
Q96BR9	ZBT8A_HUMAN	Vaquerizas et al.
Q96BR6	ZN669_HUMAN	Vaquerizas et al.
Q96BK5	PINX1_HUMAN	Vaquerizas et al.
Q96BA8	CR3L1_HUMAN	Vaquerizas et al.
Q96A47	ISL2_HUMAN	Vaquerizas et al.
Q969W8	ZN566_HUMAN	Vaquerizas et al.
Q969S3	ZN622_HUMAN	Vaquerizas et al.
Q969J2	ZKSC4_HUMAN	Vaquerizas et al.
Q969G2	LHX4_HUMAN	Vaquerizas et al.
Q92988	DLX4_HUMAN	Vaquerizas et al.
Q92985	IRF7_HUMAN	Vaquerizas et al.
Q92949	FOXJ1_HUMAN	Vaquerizas et al.
Q92908	GATA6_HUMAN	Vaquerizas et al.
Q92886	NGN1_HUMAN	Vaquerizas et al.
Q92858	ATOH1_HUMAN	Vaquerizas et al.
Q92826	HXB13_HUMAN	Vaquerizas et al.
Q92800	EZH1_HUMAN	Vaquerizas et al.
Q92786	PROX1_HUMAN	Vaquerizas et al.
Q92785	REQU_HUMAN	Vaquerizas et al.
Q92782	DPF1_HUMAN	Vaquerizas et al.
Q92766	RREB1_HUMAN	Vaquerizas et al.
Q92754	AP2C_HUMAN	Vaquerizas et al.
Q92753	RORB_HUMAN	Vaquerizas et al.
Q92731	ESR2_HUMAN	Vaquerizas et al.
Q92618	ZN516_HUMAN	Vaquerizas et al.
Q92610	ZN592_HUMAN	Vaquerizas et al.
Q92570	NR4A3_HUMAN	Vaquerizas et al.
Q92481	AP2B_HUMAN	Vaquerizas et al.
Q8WYK2	JDP2_HUMAN	Vaquerizas et al.
Q8WYA1	BMAL2_HUMAN	Vaquerizas et al.
Q8WY36	BBX_HUMAN	Vaquerizas et al.
Q8WXT5	FX4L4_HUMAN	Vaquerizas et al.
Q8WXB4	ZN606_HUMAN	Vaquerizas et al.
Q8WW38	FOG2_HUMAN	Vaquerizas et al.
Q8WV37	ZN480_HUMAN	Vaquerizas et al.
Q8WUU4	ZN296_HUMAN	Vaquerizas et al.
Q8WUN3	ZN252_HUMAN	Vaquerizas et al.
Q8WTR7	ZN473_HUMAN	Vaquerizas et al.
Q8TF68	ZN384_HUMAN	Vaquerizas et al.
Q8TF50	ZN526_HUMAN	Vaquerizas et al.
Q8TF45	ZN418_HUMAN	Vaquerizas et al.
Q8TF39	ZN483_HUMAN	Vaquerizas et al.
Q8TF32	ZN431_HUMAN	Vaquerizas et al.
Q8TF20	ZN721_HUMAN	Vaquerizas et al.
Q8TEY5	CR3L4_HUMAN	Vaquerizas et al.
Q8TE85	GRHL3_HUMAN	Vaquerizas et al.
Q8TE12	LMX1A_HUMAN	Vaquerizas et al.
Q8TDD2	SP7_HUMAN	Vaquerizas et al.
Q8TD94	KLF14_HUMAN	Vaquerizas et al.
Q8TD23	ZN675_HUMAN	Vaquerizas et al.
Q8TD17	ZN398_HUMAN	Vaquerizas et al.
Q8TCN5	ZN507_HUMAN	Vaquerizas et al.
Q8TC21	ZN596_HUMAN	Vaquerizas et al.
Q8TBZ5	ZN502_HUMAN	Vaquerizas et al.
Q8TBC5	ZSC18_HUMAN	Vaquerizas et al.
Q8TB69	ZN519_HUMAN	Vaquerizas et al.
Q8TAX0	OSR1_HUMAN	Vaquerizas et al.
Q8TAW3	ZN671_HUMAN	Vaquerizas et al.
Q8TAU3	ZN417_HUMAN	Vaquerizas et al.
Q8TAU0	NKX23_HUMAN	Vaquerizas et al.
Q8TAQ5	ZN420_HUMAN	Vaquerizas et al.
Q8TAK6	OLIG1_HUMAN	Vaquerizas et al.
Q8TAF7	ZN461_HUMAN	Vaquerizas et al.
Q8TA94	ZN563_HUMAN	Vaquerizas et al.
Q8NI51	CTCFL_HUMAN	Vaquerizas et al.
Q8NHY6	ZFP28_HUMAN	Vaquerizas et al.
Q8NHW3	MAFA_HUMAN	Vaquerizas et al.
Q8NHV9	RHXF1_HUMAN	Vaquerizas et al.
Q8NFW5	DMBX1_HUMAN	Vaquerizas et al.
Q8NFJ8	BHE22_HUMAN	Vaquerizas et al.
Q8NF99	ZN397_HUMAN	Vaquerizas et al.
Q8NEP9	ZN555_HUMAN	Vaquerizas et al.
Q8NEM1	ZN680_HUMAN	Vaquerizas et al.
Q8NEK5	ZN548_HUMAN	Vaquerizas et al.
Q8NEA6	GLIS3_HUMAN	Vaquerizas et al.
Q8NDY6	BHE23_HUMAN	Vaquerizas et al.
Q8NDX6	ZN740_HUMAN	Vaquerizas et al.
Q8NDW4	ZN248_HUMAN	Vaquerizas et al.
Q8NDQ6	ZN540_HUMAN	Vaquerizas et al.
Q8NDP4	ZN439_HUMAN	Vaquerizas et al.
Q8ND82	Z280C_HUMAN	Vaquerizas et al.
Q8NCP5	ZBT44_HUMAN	Vaquerizas et al.
Q8NCN2	ZBT34_HUMAN	Vaquerizas et al.
Q8NCK3	ZN485_HUMAN	Vaquerizas et al.
